id_datos_partido_jugado,id_partido,resultado_local,resultado_visitante,cambios_local,cambios_visitante,amarillas_local,amarillas_visitante,rojas_local,rojas_visitante,corners_local,corners_visitante,posesion_local,posesion_visitante,total_tiros_local,total_tiros_visitante
294,289,1,1,3,2,2,1,0,0,4,4,74,26,17,8
295,288,3,4,3,3,0,1,0,0,1,9,39,61,5,23
296,291,0,2,3,3,1,1,0,0,9,6,57,43,13,15
297,304,2,1,3,3,2,2,0,0,3,9,49,51,7,8
298,297,5,1,3,2,2,2,0,0,5,3,61,39,23,5
299,298,0,2,3,3,1,1,0,0,2,2,30,70,7,12
300,299,2,1,3,3,2,1,0,0,2,7,53,47,14,14
301,300,5,1,3,3,2,1,0,0,4,2,63,37,17,15
302,301,1,5,3,3,1,1,0,0,4,3,34,66,9,12
303,302,4,2,3,3,2,4,0,1,8,5,56,44,22,17
304,303,0,0,3,3,0,1,0,0,7,5,39,61,11,14
305,305,8,1,3,3,0,2,0,0,6,5,54,46,16,12
